agency_cd	site_no	datetime	tz_cd	76944_00060	76928_00060_cd	76946_00045	76930_00045_cd	76948_00095	76933_00095_cd
USGS	06893620	2019-11-26 00:00	CST	0.90	P	0.00	P	719	P
USGS	06893620	2019-11-26 00:15	CST	0.90	P	0.00	P	719	P
USGS	06893620	2019-11-26 00:30	CST	0.90	P	0.00	P	720	P
USGS	06893620	2019-11-26 00:45	CST	0.90	P	0.00	P	720	P
USGS	06893620	2019-11-26 01:00	CST	0.90	P	0.00	P	720	P
USGS	06893620	2019-11-26 01:15	CST	0.90	P	0.00	P	720	P
USGS	06893620	2019-11-26 01:30	CST	0.90	P	0.00	P	721	P
USGS	06893620	2019-11-26 01:45	CST	0.90	P	0.00	P	721	P
USGS	06893620	2019-11-26 02:00	CST	0.90	P	0.00	P	721	P
USGS	06893620	2019-11-26 02:15	CST	0.90	P	0.00	P	721	P
USGS	06893620	2019-11-26 02:30	CST	0.90	P	0.00	P	722	P
USGS	06893620	2019-11-26 02:45	CST	0.90	P	0.00	P	721	P
USGS	06893620	2019-11-26 03:00	CST	0.90	P	0.00	P	722	P
USGS	06893620	2019-11-26 03:15	CST	0.90	P	0.00	P	722	P
USGS	06893620	2019-11-26 03:30	CST	0.90	P	0.00	P	723	P
USGS	06893620	2019-11-26 03:45	CST	0.90	P	0.00	P	723	P
USGS	06893620	2019-11-26 04:00	CST	0.90	P	0.00	P	722	P
USGS	06893620	2019-11-26 04:15	CST	0.90	P	0.00	P	724	P
USGS	06893620	2019-11-26 04:30	CST	0.90	P	0.00	P	724	P
USGS	06893620	2019-11-26 04:45	CST	0.90	P	0.00	P	724	P
USGS	06893620	2019-11-26 05:00	CST	0.90	P	0.00	P	724	P
USGS	06893620	2019-11-26 05:15	CST	0.90	P	0.00	P	724	P
USGS	06893620	2019-11-26 05:30	CST	0.90	P	0.00	P	725	P
USGS	06893620	2019-11-26 05:45	CST	0.90	P	0.00	P	725	P
USGS	06893620	2019-11-26 06:00	CST	0.90	P	0.00	P	725	P
USGS	06893620	2019-11-26 06:15	CST	0.90	P	0.00	P	726	P
USGS	06893620	2019-11-26 06:30	CST	0.90	P	0.00	P	725	P
USGS	06893620	2019-11-26 06:45	CST	0.90	P	0.00	P	726	P
USGS	06893620	2019-11-26 07:00	CST	0.90	P	0.00	P	726	P
USGS	06893620	2019-11-26 07:15	CST	0.90	P	0.00	P	726	P
USGS	06893620	2019-11-26 07:30	CST	0.90	P	0.00	P	727	P
USGS	06893620	2019-11-26 07:45	CST	0.74	P	0.00	P	727	P
USGS	06893620	2019-11-26 08:00	CST	0.74	P	0.00	P	727	P
USGS	06893620	2019-11-26 08:15	CST	0.74	P	0.00	P	727	P
USGS	06893620	2019-11-26 08:30	CST	0.74	P	0.00	P	727	P
USGS	06893620	2019-11-26 08:45	CST	0.74	P	0.00	P	727	P
USGS	06893620	2019-11-26 09:00	CST	0.90	P	0.00	P	727	P
USGS	06893620	2019-11-26 09:15	CST	0.90	P	0.00	P	727	P
USGS	06893620	2019-11-26 09:30	CST	0.74	P	0.00	P	727	P
USGS	06893620	2019-11-26 09:45	CST	0.74	P	0.00	P	727	P
USGS	06893620	2019-11-26 10:00	CST	0.90	P	0.00	P	727	P
USGS	06893620	2019-11-26 10:15	CST	0.74	P	0.00	P	727	P
USGS	06893620	2019-11-26 10:30	CST	0.90	P	0.00	P	727	P
USGS	06893620	2019-11-26 10:45	CST	0.74	P	0.00	P	728	P
USGS	06893620	2019-11-26 11:00	CST	0.90	P	0.00	P	728	P
USGS	06893620	2019-11-26 11:15	CST	0.74	P	0.00	P	729	P
USGS	06893620	2019-11-26 11:30	CST	0.74	P	0.00	P	730	P
USGS	06893620	2019-11-26 11:45	CST	0.90	P	0.00	P	730	P
USGS	06893620	2019-11-26 12:00	CST	0.74	P	0.00	P	730	P
USGS	06893620	2019-11-26 12:15	CST	0.74	P	0.00	P	730	P
USGS	06893620	2019-11-26 12:30	CST	0.74	P	0.00	P	730	P
USGS	06893620	2019-11-26 12:45	CST	0.74	P	0.00	P	730	P
USGS	06893620	2019-11-26 13:00	CST	0.74	P	0.00	P	730	P
USGS	06893620	2019-11-26 13:15	CST	0.74	P	0.00	P	730	P
USGS	06893620	2019-11-26 13:30	CST	0.74	P	0.00	P	730	P
USGS	06893620	2019-11-26 13:45	CST	0.90	P	0.00	P	730	P
USGS	06893620	2019-11-26 14:00	CST	0.74	P	0.00	P	731	P
USGS	06893620	2019-11-26 14:15	CST	0.90	P	0.00	P	731	P
USGS	06893620	2019-11-26 14:30	CST	0.74	P	0.00	P	731	P
USGS	06893620	2019-11-26 14:45	CST	0.74	P	0.00	P	731	P
USGS	06893620	2019-11-26 15:00	CST	0.74	P	0.00	P	731	P
USGS	06893620	2019-11-26 15:15	CST	0.90	P	0.00	P	731	P
USGS	06893620	2019-11-26 15:30	CST	0.90	P	0.00	P	732	P
USGS	06893620	2019-11-26 15:45	CST	0.90	P	0.00	P	732	P
USGS	06893620	2019-11-26 16:00	CST	0.90	P	0.00	P	732	P
USGS	06893620	2019-11-26 16:15	CST	0.90	P	0.00	P	732	P
USGS	06893620	2019-11-26 16:30	CST	0.90	P	0.00	P	733	P
USGS	06893620	2019-11-26 16:45	CST	0.90	P	0.00	P	733	P
USGS	06893620	2019-11-26 17:00	CST	0.90	P	0.00	P	733	P
USGS	06893620	2019-11-26 17:15	CST	0.90	P	0.00	P	734	P
USGS	06893620	2019-11-26 17:30	CST	0.90	P	0.00	P	734	P
USGS	06893620	2019-11-26 17:45	CST	0.74	P	0.00	P	735	P
USGS	06893620	2019-11-26 18:00	CST	0.90	P	0.00	P	735	P
USGS	06893620	2019-11-26 18:15	CST	0.74	P	0.00	P	736	P
USGS	06893620	2019-11-26 18:30	CST	0.90	P	0.00	P	737	P
USGS	06893620	2019-11-26 18:45	CST	0.90	P	0.00	P	737	P
USGS	06893620	2019-11-26 19:00	CST	0.90	P	0.00	P	738	P
USGS	06893620	2019-11-26 19:15	CST	0.74	P	0.00	P	738	P
USGS	06893620	2019-11-26 19:30	CST	0.90	P	0.00	P	739	P
USGS	06893620	2019-11-26 19:45	CST	0.90	P	0.00	P	739	P
USGS	06893620	2019-11-26 20:00	CST	0.74	P	0.00	P	739	P
USGS	06893620	2019-11-26 20:15	CST	0.74	P	0.00	P	740	P
USGS	06893620	2019-11-26 20:30	CST	0.90	P	0.00	P	741	P
USGS	06893620	2019-11-26 20:45	CST	0.90	P	0.00	P	741	P
USGS	06893620	2019-11-26 21:00	CST	0.74	P	0.00	P	742	P
USGS	06893620	2019-11-26 21:15	CST	0.90	P	0.00	P	742	P
USGS	06893620	2019-11-26 21:30	CST	0.74	P	0.00	P	742	P
USGS	06893620	2019-11-26 21:45	CST	0.74	P	0.00	P	743	P
USGS	06893620	2019-11-26 22:00	CST	0.74	P	0.00	P	743	P
USGS	06893620	2019-11-26 22:15	CST	0.74	P	0.00	P	743	P
USGS	06893620	2019-11-26 22:30	CST	0.90	P	0.00	P	744	P
USGS	06893620	2019-11-26 22:45	CST	0.90	P	0.00	P	744	P
USGS	06893620	2019-11-26 23:00	CST	0.74	P	0.00	P	745	P
USGS	06893620	2019-11-26 23:15	CST	0.74	P	0.01	P	746	P
USGS	06893620	2019-11-26 23:30	CST	0.74	P	0.01	P	746	P
USGS	06893620	2019-11-26 23:45	CST	0.90	P	0.02	P	746	P
USGS	06893620	2019-11-27 00:00	CST	0.90	P	0.00	P	746	P
USGS	06893620	2019-11-27 00:15	CST	0.90	P	0.00	P	746	P
USGS	06893620	2019-11-27 00:30	CST	0.90	P	0.00	P	747	P
USGS	06893620	2019-11-27 00:45	CST	0.90	P	0.00	P	747	P
USGS	06893620	2019-11-27 01:00	CST	0.90	P	0.00	P	748	P
USGS	06893620	2019-11-27 01:15	CST	0.90	P	0.00	P	748	P
USGS	06893620	2019-11-27 01:30	CST	1.06	P	0.00	P	749	P
USGS	06893620	2019-11-27 01:45	CST	0.90	P	0.00	P	750	P
USGS	06893620	2019-11-27 02:00	CST	0.90	P	0.00	P	751	P
USGS	06893620	2019-11-27 02:15	CST	0.90	P	0.00	P	752	P
USGS	06893620	2019-11-27 02:30	CST	0.90	P	0.00	P	754	P
USGS	06893620	2019-11-27 02:45	CST	0.90	P	0.00	P	758	P
USGS	06893620	2019-11-27 03:00	CST	0.90	P	0.00	P	761	P
USGS	06893620	2019-11-27 03:15	CST	0.90	P	0.00	P	765	P
USGS	06893620	2019-11-27 03:30	CST	0.90	P	0.00	P	766	P
USGS	06893620	2019-11-27 03:45	CST	0.74	P	0.00	P	767	P
USGS	06893620	2019-11-27 04:00	CST	0.90	P	0.00	P	767	P
USGS	06893620	2019-11-27 04:15	CST	0.90	P	0.00	P	767	P
USGS	06893620	2019-11-27 04:30	CST	0.74	P	0.00	P	767	P
USGS	06893620	2019-11-27 04:45	CST	0.74	P	0.00	P	767	P
USGS	06893620	2019-11-27 05:00	CST	0.74	P	0.00	P	767	P
USGS	06893620	2019-11-27 05:15	CST	0.74	P	0.00	P	767	P
USGS	06893620	2019-11-27 05:30	CST	0.74	P	0.00	P	767	P
USGS	06893620	2019-11-27 05:45	CST	0.74	P	0.00	P	767	P
USGS	06893620	2019-11-27 06:00	CST	0.74	P	0.00	P	767	P
USGS	06893620	2019-11-27 06:15	CST	0.74	P	0.00	P	766	P
USGS	06893620	2019-11-27 06:30	CST	0.74	P	0.00	P	766	P
USGS	06893620	2019-11-27 06:45	CST	0.74	P	0.00	P	765	P
USGS	06893620	2019-11-27 07:00	CST	0.74	P	0.00	P	765	P
USGS	06893620	2019-11-27 07:15	CST	0.90	P	0.00	P	764	P
USGS	06893620	2019-11-27 07:30	CST	0.74	P	0.00	P	764	P
USGS	06893620	2019-11-27 07:45	CST	0.74	P	0.00	P	763	P
USGS	06893620	2019-11-27 08:00	CST	0.90	P	0.00	P	762	P
USGS	06893620	2019-11-27 08:15	CST	0.74	P	0.00	P	762	P
USGS	06893620	2019-11-27 08:30	CST	0.74	P	0.00	P	761	P
USGS	06893620	2019-11-27 08:45	CST	0.74	P	0.00	P	761	P
USGS	06893620	2019-11-27 09:00	CST	0.74	P	0.00	P	761	P
USGS	06893620	2019-11-27 09:15	CST	0.74	P	0.00	P	761	P
USGS	06893620	2019-11-27 09:30	CST	0.74	P	0.00	P	760	P
USGS	06893620	2019-11-27 09:45	CST	0.74	P	0.00	P	760	P
USGS	06893620	2019-11-27 10:00	CST	0.74	P	0.00	P	759	P
USGS	06893620	2019-11-27 10:15	CST	0.74	P	0.00	P	759	P
USGS	06893620	2019-11-27 10:30	CST	0.74	P	0.00	P	759	P
USGS	06893620	2019-11-27 10:45	CST	0.74	P	0.00	P	758	P
USGS	06893620	2019-11-27 11:00	CST	0.74	P	0.00	P	757	P
USGS	06893620	2019-11-27 11:15	CST	0.74	P	0.00	P	757	P
USGS	06893620	2019-11-27 11:30	CST	0.74	P	0.00	P	757	P
USGS	06893620	2019-11-27 11:45	CST	0.74	P	0.00	P	757	P
USGS	06893620	2019-11-27 12:00	CST	0.74	P	0.00	P	757	P
USGS	06893620	2019-11-27 12:15	CST	0.74	P	0.00	P	757	P
USGS	06893620	2019-11-27 12:30	CST	0.74	P	0.00	P	757	P
USGS	06893620	2019-11-27 12:45	CST	0.74	P	0.00	P	756	P
USGS	06893620	2019-11-27 13:00	CST	0.90	P	0.00	P	756	P
USGS	06893620	2019-11-27 13:15	CST	0.90	P	0.00	P	754	P
USGS	06893620	2019-11-27 13:30	CST	0.90	P	0.00	P	755	P
USGS	06893620	2019-11-27 13:45	CST	0.90	P	0.00	P	755	P
USGS	06893620	2019-11-27 14:00	CST	0.90	P	0.00	P	755	P
USGS	06893620	2019-11-27 14:15	CST	0.90	P	0.00	P	756	P
USGS	06893620	2019-11-27 14:30	CST	0.90	P	0.00	P	756	P
USGS	06893620	2019-11-27 14:45	CST	0.90	P	0.00	P	756	P
USGS	06893620	2019-11-27 15:00	CST	0.90	P	0.00	P	755	P
USGS	06893620	2019-11-27 15:15	CST	0.90	P	0.00	P	755	P
USGS	06893620	2019-11-27 15:30	CST	0.90	P	0.00	P	755	P
USGS	06893620	2019-11-27 15:45	CST	0.90	P	0.00	P	755	P
