agency_cd	site_no	datetime	tz_cd	76944_00060	76944_00060_cd	76946_00045	76946_00045_cd	76948_00095	76948_00095_cd
USGS	06893820	2019-10-28 00:15	CDT	41.5	A	0.00	P	398	P
USGS	06893820	2019-10-28 00:30	CDT	41.5	A	0.00	P	398	P
USGS	06893820	2019-10-28 00:45	CDT	41.5	A	0.00	P	398	P
USGS	06893820	2019-10-28 01:00	CDT	41.5	A	0.00	P	398	P
USGS	06893820	2019-10-28 01:15	CDT	41.5	A	0.00	P	398	P
USGS	06893820	2019-10-28 01:30	CDT	40.9	A	0.00	P	398	P
USGS	06893820	2019-10-28 01:45	CDT	40.9	A	0.00	P	398	P
USGS	06893820	2019-10-28 02:00	CDT	40.9	A	0.00	P	398	P
USGS	06893820	2019-10-28 02:15	CDT	40.9	A	0.00	P	398	P
USGS	06893820	2019-10-28 02:30	CDT	40.9	A	0.00	P	398	P
USGS	06893820	2019-10-28 02:45	CDT	40.9	A	0.00	P	398	P
USGS	06893820	2019-10-28 03:00	CDT	40.9	A	0.00	P	398	P
USGS	06893820	2019-10-28 03:15	CDT	40.9	A	0.00	P	398	P
USGS	06893820	2019-10-28 03:30	CDT	40.9	A	0.00	P	398	P
USGS	06893820	2019-10-28 03:45	CDT	40.9	A	0.00	P	398	P
USGS	06893820	2019-10-28 04:00	CDT	40.3	A	0.00	P	398	P
USGS	06893820	2019-10-28 04:15	CDT	40.3	A	0.00	P	398	P
USGS	06893820	2019-10-28 04:30	CDT	40.3	A	0.00	P	398	P
USGS	06893820	2019-10-28 04:45	CDT	40.3	A	0.00	P	398	P
USGS	06893820	2019-10-28 05:00	CDT	40.3	A	0.00	P	398	P
USGS	06893820	2019-10-28 05:15	CDT	39.7	A	0.00	P	398	P
USGS	06893820	2019-10-28 05:30	CDT	39.7	A	0.00	P	398	P
USGS	06893820	2019-10-28 05:45	CDT	39.7	A	0.00	P	398	P
USGS	06893820	2019-10-28 06:00	CDT	39.7	A	0.00	P	398	P
USGS	06893820	2019-10-28 06:15	CDT	39.7	A	0.00	P	398	P
USGS	06893820	2019-10-28 06:30	CDT	39.7	A	0.00	P	398	P
USGS	06893820	2019-10-28 06:45	CDT	39.7	A	0.00	P	399	P
USGS	06893820	2019-10-28 07:00	CDT	39.1	A	0.00	P	399	P
USGS	06893820	2019-10-28 07:15	CDT	39.7	A	0.00	P	399	P
USGS	06893820	2019-10-28 07:30	CDT	39.7	A	0.00	P	399	P
USGS	06893820	2019-10-28 07:45	CDT	39.1	A	0.00	P	399	P
USGS	06893820	2019-10-28 08:00	CDT	39.1	A	0.00	P	399	P
USGS	06893820	2019-10-28 08:15	CDT	39.1	A	0.00	P	399	P
USGS	06893820	2019-10-28 08:30	CDT	39.1	A	0.00	P	399	P
USGS	06893820	2019-10-28 08:45	CDT	39.1	A	0.00	P	399	P
USGS	06893820	2019-10-28 09:00	CDT	39.1	A	0.00	P	399	P
USGS	06893820	2019-10-28 09:15	CDT	39.1	A	0.00	P	399	P
USGS	06893820	2019-10-28 09:30	CDT	38.5	A	0.00	P	399	P
USGS	06893820	2019-10-28 09:45	CDT	39.1	A	0.00	P	399	P
USGS	06893820	2019-10-28 10:00	CDT	39.1	A	0.00	P	399	P
USGS	06893820	2019-10-28 10:15	CDT	38.5	A	0.00	P	399	P
USGS	06893820	2019-10-28 10:30	CDT	38.5	A	0.00	P	399	P
USGS	06893820	2019-10-28 10:45	CDT	38.5	A	0.00	P	399	P
USGS	06893820	2019-10-28 11:00	CDT	38.5	A	0.00	P	400	P
USGS	06893820	2019-10-28 11:15	CDT	38.5	A	0.00	P	399	P
USGS	06893820	2019-10-28 11:30	CDT	38.5	A	0.00	P	399	P
USGS	06893820	2019-10-28 11:45	CDT	38.5	A	0.00	P	400	P
USGS	06893820	2019-10-28 12:00	CDT	38.5	A	0.00	P	400	P
USGS	06893820	2019-10-28 12:15	CDT	38.5	A	0.00	P	400	P
USGS	06893820	2019-10-28 12:30	CDT	38.5	A	0.00	P	400	P
USGS	06893820	2019-10-28 12:45	CDT	38.5	A	0.00	P	400	P
USGS	06893820	2019-10-28 13:00	CDT	38.5	A	0.00	P	400	P
USGS	06893820	2019-10-28 13:15	CDT	38.5	A	0.00	P	400	P
USGS	06893820	2019-10-28 13:30	CDT	38.5	A	0.00	P	400	P
USGS	06893820	2019-10-28 13:45	CDT	37.9	A	0.00	P	400	P
USGS	06893820	2019-10-28 14:00	CDT	37.9	A	0.00	P	400	P
USGS	06893820	2019-10-28 14:15	CDT	37.9	A	0.00	P	400	P
USGS	06893820	2019-10-28 14:30	CDT	37.9	A	0.00	P	400	P
USGS	06893820	2019-10-28 14:45	CDT	37.9	A	0.00	P	400	P
USGS	06893820	2019-10-28 15:00	CDT	37.9	A	0.00	P	400	P
USGS	06893820	2019-10-28 15:15	CDT	37.9	A	0.00	P	400	P
USGS	06893820	2019-10-28 15:30	CDT	37.9	A	0.00	P	400	P
USGS	06893820	2019-10-28 15:45	CDT	37.9	A	0.00	P	400	P
USGS	06893820	2019-10-28 16:00	CDT	37.9	A	0.00	P	400	P
USGS	06893820	2019-10-28 16:15	CDT	37.9	A	0.00	P	400	P
USGS	06893820	2019-10-28 16:30	CDT	37.9	A	0.00	P	400	P
USGS	06893820	2019-10-28 16:45	CDT	37.9	A	0.00	P	399	P
USGS	06893820	2019-10-28 17:00	CDT	37.3	A	0.00	P	400	P
USGS	06893820	2019-10-28 17:15	CDT	37.3	A	0.00	P	400	P
USGS	06893820	2019-10-28 17:30	CDT	37.3	A	0.00	P	399	P
USGS	06893820	2019-10-28 17:45	CDT	37.3	A	0.01	P	399	P
USGS	06893820	2019-10-28 18:00	CDT	37.3	A	0.00	P	399	P
USGS	06893820	2019-10-28 18:15	CDT	37.9	A	0.00	P	399	P
USGS	06893820	2019-10-28 18:30	CDT	37.3	A	0.01	P	399	P
USGS	06893820	2019-10-28 18:45	CDT	37.9	A	0.04	P	399	P
USGS	06893820	2019-10-28 19:00	CDT	37.9	A	0.04	P	399	P
USGS	06893820	2019-10-28 19:15	CDT	37.9	A	0.03	P	399	P
USGS	06893820	2019-10-28 19:30	CDT	38.5	A	0.02	P	399	P
USGS	06893820	2019-10-28 19:45	CDT	39.0	A	0.02	P	399	P
USGS	06893820	2019-10-28 20:00	CDT	39.0	A	0.02	P	399	P
