agency_cd	site_no	datetime	tz_cd	76944_00060	76928_00060_cd	76946_00045	76930_00045_cd	76948_00095	76933_00095_cd
USGS	06893620	2019-10-26 00:00	CDT	1.25	A	0.00	P	731	A
USGS	06893620	2019-10-26 00:15	CDT	1.25	A	0.00	P	730	A
USGS	06893620	2019-10-26 00:30	CDT	1.25	A	0.00	P	732	A
USGS	06893620	2019-10-26 00:45	CDT	1.25	A	0.00	P	731	A
USGS	06893620	2019-10-26 01:00	CDT	1.25	A	0.00	P	731	A
USGS	06893620	2019-10-26 01:15	CDT	1.25	A	0.00	P	732	A
USGS	06893620	2019-10-26 01:30	CDT	1.25	A	0.00	P	732	A
USGS	06893620	2019-10-26 01:45	CDT	1.25	A	0.00	P	732	A
USGS	06893620	2019-10-26 02:00	CDT	1.25	A	0.00	P	733	A
USGS	06893620	2019-10-26 02:15	CDT	1.25	A	0.00	P	733	A
USGS	06893620	2019-10-26 02:30	CDT	1.25	A	0.00	P	733	A
USGS	06893620	2019-10-26 02:45	CDT	1.25	A	0.00	P	733	A
USGS	06893620	2019-10-26 03:00	CDT	1.25	A	0.00	P	733	A
USGS	06893620	2019-10-26 03:15	CDT	1.25	A	0.00	P	733	A
USGS	06893620	2019-10-26 03:30	CDT	1.25	A	0.00	P	733	A
USGS	06893620	2019-10-26 03:45	CDT	1.25	A	0.00	P	733	A
USGS	06893620	2019-10-26 04:00	CDT	1.25	A	0.00	P	734	A
USGS	06893620	2019-10-26 04:15	CDT	1.25	A	0.00	P	735	A
USGS	06893620	2019-10-26 04:30	CDT	1.25	A	0.00	P	734	A
USGS	06893620	2019-10-26 04:45	CDT	1.07	A	0.00	P	735	A
USGS	06893620	2019-10-26 05:00	CDT	1.25	A	0.00	P	735	A
USGS	06893620	2019-10-26 05:15	CDT	1.25	A	0.00	P	735	A
USGS	06893620	2019-10-26 05:30	CDT	1.25	A	0.00	P	736	A
USGS	06893620	2019-10-26 05:45	CDT	1.25	A	0.00	P	736	A
USGS	06893620	2019-10-26 06:00	CDT	1.25	A	0.00	P	737	A
USGS	06893620	2019-10-26 06:15	CDT	1.25	A	0.00	P	738	A
USGS	06893620	2019-10-26 06:30	CDT	1.25	A	0.00	P	738	A
USGS	06893620	2019-10-26 06:45	CDT	1.25	A	0.00	P	738	A
USGS	06893620	2019-10-26 07:00	CDT	1.25	A	0.00	P	740	A
USGS	06893620	2019-10-26 07:15	CDT	1.25	A	0.00	P	741	A
USGS	06893620	2019-10-26 07:30	CDT	1.25	A	0.00	P	741	A
USGS	06893620	2019-10-26 07:45	CDT	1.25	A	0.00	P	741	A
USGS	06893620	2019-10-26 08:00	CDT	1.25	A	0.00	P	740	A
USGS	06893620	2019-10-26 08:15	CDT	1.25	A	0.00	P	741	A
USGS	06893620	2019-10-26 08:30	CDT	1.25	A	0.00	P	741	A
USGS	06893620	2019-10-26 08:45	CDT	1.25	A	0.00	P	742	A
USGS	06893620	2019-10-26 09:00	CDT	1.25	A	0.00	P	742	A
USGS	06893620	2019-10-26 09:15	CDT	1.25	A	0.00	P	742	A
USGS	06893620	2019-10-26 09:30	CDT	1.25	A	0.00	P	743	A
USGS	06893620	2019-10-26 09:45	CDT	1.25	A	0.00	P	742	A
USGS	06893620	2019-10-26 10:00	CDT	1.25	A	0.00	P	743	A
USGS	06893620	2019-10-26 10:15	CDT	1.25	A	0.00	P	742	A
USGS	06893620	2019-10-26 10:30	CDT	1.25	A	0.00	P	743	A
USGS	06893620	2019-10-26 10:45	CDT	1.25	A	0.00	P	741	A
USGS	06893620	2019-10-26 11:00	CDT	1.25	A	0.00	P	743	A
USGS	06893620	2019-10-26 11:15	CDT	1.25	A	0.00	P	742	A
USGS	06893620	2019-10-26 11:30	CDT	1.25	A	0.00	P	740	A
USGS	06893620	2019-10-26 11:45	CDT	1.25	A	0.00	P	740	A
USGS	06893620	2019-10-26 12:00	CDT	1.25	A	0.00	P	739	A
USGS	06893620	2019-10-26 12:15	CDT	1.25	A	0.00	P	738	A
USGS	06893620	2019-10-26 12:30	CDT	1.25	A	0.00	P	738	A
USGS	06893620	2019-10-26 12:45	CDT	1.25	A	0.00	P	738	A
USGS	06893620	2019-10-26 13:00	CDT	1.25	A	0.00	P	738	A
USGS	06893620	2019-10-26 13:15	CDT	1.25	A	0.00	P	741	A
USGS	06893620	2019-10-26 13:30	CDT	1.25	A	0.00	P	740	A
USGS	06893620	2019-10-26 13:45	CDT	1.25	A	0.00	P	743	A
USGS	06893620	2019-10-26 14:00	CDT	1.25	A	0.00	P	743	A
USGS	06893620	2019-10-26 14:15	CDT	1.25	A	0.00	P	746	A
USGS	06893620	2019-10-26 14:30	CDT	1.25	A	0.00	P	746	A
USGS	06893620	2019-10-26 14:45	CDT	1.25	A	0.00	P	748	A
USGS	06893620	2019-10-26 15:00	CDT	1.25	A	0.00	P	748	A
USGS	06893620	2019-10-26 15:15	CDT	1.25	A	0.00	P	747	A
USGS	06893620	2019-10-26 15:30	CDT	1.25	A	0.00	P	747	A
USGS	06893620	2019-10-26 15:45	CDT	1.25	A	0.00	P	746	A
USGS	06893620	2019-10-26 16:00	CDT	1.25	A	0.00	P	745	A
USGS	06893620	2019-10-26 16:15	CDT	1.25	A	0.00	P	744	A
USGS	06893620	2019-10-26 16:30	CDT	1.25	A	0.00	P	744	A
USGS	06893620	2019-10-26 16:45	CDT	1.25	A	0.00	P	743	A
USGS	06893620	2019-10-26 17:00	CDT	1.25	A	0.00	P	743	A
USGS	06893620	2019-10-26 17:15	CDT	1.25	A	0.00	P	743	A
USGS	06893620	2019-10-26 17:30	CDT	1.25	A	0.00	P	744	A
USGS	06893620	2019-10-26 17:45	CDT	1.25	A	0.00	P	743	A
USGS	06893620	2019-10-26 18:00	CDT	1.44	A	0.00	P	741	A
