agency_cd	site_no	datetime	tz_cd	76944_00060	76967_00060_cd	76946_00045	76969_00045_cd	76948_00095	76972_00095_cd
USGS	06893890	2019-11-26 00:00	CST	29.5	P	0.00	P	382	P
USGS	06893890	2019-11-26 00:15	CST	29.8	P	0.00	P	382	P
USGS	06893890	2019-11-26 00:30	CST	29.5	P	0.00	P	382	P
USGS	06893890	2019-11-26 00:45	CST	29.8	P	0.00	P	382	P
USGS	06893890	2019-11-26 01:00	CST	29.8	P	0.00	P	382	P
USGS	06893890	2019-11-26 01:15	CST	29.8	P	0.00	P	383	P
USGS	06893890	2019-11-26 01:30	CST	29.8	P	0.00	P	383	P
USGS	06893890	2019-11-26 01:45	CST	29.8	P	0.00	P	383	P
USGS	06893890	2019-11-26 02:00	CST	29.8	P	0.00	P	383	P
USGS	06893890	2019-11-26 02:15	CST	30.2	P	0.00	P	383	P
USGS	06893890	2019-11-26 02:30	CST	30.2	P	0.00	P	383	P
USGS	06893890	2019-11-26 02:45	CST	30.2	P	0.00	P	384	P
USGS	06893890	2019-11-26 03:00	CST	30.5	P	0.00	P	383	P
USGS	06893890	2019-11-26 03:15	CST	30.2	P	0.00	P	384	P
USGS	06893890	2019-11-26 03:30	CST	30.5	P	0.00	P	384	P
USGS	06893890	2019-11-26 03:45	CST	30.5	P	0.00	P	388	P
USGS	06893890	2019-11-26 04:00	CST	30.8	P	0.00	P	398	P
USGS	06893890	2019-11-26 04:15	CST	30.5	P	0.00	P	405	P
USGS	06893890	2019-11-26 04:30	CST	31.2	P	0.00	P	415	P
USGS	06893890	2019-11-26 04:45	CST	30.8	P	0.00	P	416	P
USGS	06893890	2019-11-26 05:00	CST	30.8	P	0.00	P	419	P
USGS	06893890	2019-11-26 05:15	CST	30.8	P	0.00	P	433	P
USGS	06893890	2019-11-26 05:30	CST	30.8	P	0.00	P	434	P
USGS	06893890	2019-11-26 05:45	CST	31.2	P	0.00	P	435	P
USGS	06893890	2019-11-26 06:00	CST	31.2	P	0.00	P	435	P
USGS	06893890	2019-11-26 06:15	CST	31.2	P	0.00	P	454	P
USGS	06893890	2019-11-26 06:30	CST	31.2	P	0.00	P	453	P
USGS	06893890	2019-11-26 06:45	CST	31.2	P	0.00	P	456	P
USGS	06893890	2019-11-26 07:00	CST	31.2	P	0.00	P	464	P
USGS	06893890	2019-11-26 07:15	CST	31.2	P	0.00	P	471	P
USGS	06893890	2019-11-26 07:30	CST	31.2	P	0.00	P	466	P
USGS	06893890	2019-11-26 07:45	CST	31.2	P	0.00	P	458	P
USGS	06893890	2019-11-26 08:00	CST	31.2	P	0.00	P	450	P
USGS	06893890	2019-11-26 08:15	CST	31.2	P	0.00	P	443	P
USGS	06893890	2019-11-26 08:30	CST	31.5	P	0.00	P	439	P
USGS	06893890	2019-11-26 08:45	CST	31.2	P	0.00	P	435	P
USGS	06893890	2019-11-26 09:00	CST	31.2	P	0.00	P	437	P
USGS	06893890	2019-11-26 09:15	CST	31.2	P	0.00	P	439	P
USGS	06893890	2019-11-26 09:30	CST	31.2	P	0.00	P	443	P
USGS	06893890	2019-11-26 09:45	CST	31.2	P	0.00	P	450	P
USGS	06893890	2019-11-26 10:00	CST	31.5	P	0.00	P	459	P
USGS	06893890	2019-11-26 10:15	CST	31.2	P	0.00	P	454	P
USGS	06893890	2019-11-26 10:30	CST	31.2	P	0.00	P	465	P
USGS	06893890	2019-11-26 10:45	CST	31.5	P	0.00	P	468	P
USGS	06893890	2019-11-26 11:00	CST	31.2	P	0.00	P	476	P
USGS	06893890	2019-11-26 11:15	CST	31.2	P	0.00	P	494	P
USGS	06893890	2019-11-26 11:30	CST	31.2	P	0.00	P	488	P
USGS	06893890	2019-11-26 11:45	CST	31.2	P	0.00	P	496	P
